n,time,fn
0,539933,0
10,401232,15
20,482324,195
30,560932,363
40,646082,277
50,778730,379
60,896140,411
70,1289818,602
80,1360961,674
90,1987135,842
100,2174488,701
110,2452048,786
120,2829315,1075
130,4184426,782
140,4028834,1232
150,4822823,1114
160,5542071,1210
170,6345558,1327
180,7239574,1485
190,11365451,1396
200,10946686,1397
210,11977378,1752
220,13667658,1586
230,15114691,1618
240,16821912,1771
250,18655820,2152
260,20663495,1922
270,31022959,1941
280,28476324,2173
290,30597492,2261
300,32525916,2188
310,35213216,2192
320,38489428,2371
330,41636690,2508
340,44551264,2357
350,48200608,2722
360,51693377,3018
370,55465720,3006
380,82980871,2854
390,74242797,3113
400,76297890,2929
410,80861267,3386
420,87393846,3359
430,91111587,3423
440,97582930,3234
450,103341768,3410
460,108773183,3447
470,112356080,3481
480,120207091,3362
490,127467845,3568
500,131768640,3840
510,140937462,3796
520,149425046,4033
530,205418936,4039
540,188914129,4448
550,195118723,4293
560,206974813,4179
570,216295320,4316
580,233218350,4387
590,232775280,4556
600,239859193,4780
610,251981792,4479
620,265803148,4451
630,272367366,4574
640,282900937,4553
650,301155364,4763
660,305818959,4858
670,321304204,5285
680,332199482,5067
690,346678081,4987
700,364210184,5264
710,369758647,5544
720,390970851,5495
730,401656646,5601
740,422177193,5578
750,440210076,5696
760,670529460,5470
770,579318026,5576
780,603666701,5640
790,637776097,5897
800,664546251,6406
810,698068907,6070
820,724447207,6128
830,766528992,6389
840,822594816,6421
850,876627259,6509
860,946561658,6924
870,1000114460,6933
880,1033834726,6125
890,1144281697,7014
900,1155418980,7193
910,1220269918,6857
920,1308767923,7293
930,1407654829,6913
940,2690638727,7002
950,6351894056,6678
960,1831368684,7433
970,2126879635,7600
980,1911710607,7748
990,1985807000,7834
